first_word	is_gemma_emitted	is_qwen_emitted	is_ministral_emitted	is_claude	total_emit_count	pc1	pc2	pc3	nn_first_word	nn_cosine	soft_assignment	soft_margin	weight_HP	weight_LP	weight_HN-D	weight_HN-S	weight_LN	weight_NB
((⊂(`ω´∩)	False	False	False	True	0	2.140116216323726	4.072084201010279	-2.940030459802898	(;一_一)	0.989551558627927	HN-S	0.19999999999999996	0.0	0.0	0.0	0.6	0.4	0.0
((✿◕‿◕))	False	False	False	True	0	-7.381656854995342	2.0696826302078506	3.5179036321000936	(✿◠‿◠)	0.9946592475333116	LP	0.47727272727272724	0.18181818181818182	0.6590909090909091	0.0	0.0	0.045454545454545456	0.11363636363636363
(-_-;)	False	False	False	True	0	16.068813128932874	0.5170659484696642	-2.7733548803800474	(>_<;)	0.9976664110396135	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(..)	False	False	False	True	0	4.210779042130966	-6.903196932365258	-9.572198757801559	(👀)	0.9957425682295868	NB	1.0	0.0	0.0	0.0	0.0	0.0	1.0
(._.)	False	False	False	True	0	10.629955526462496	-1.3235674710175545	0.1535339752763747	(﹏-)	0.9968954793263384	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(/▽＼)	False	False	False	True	0	4.608196346568931	5.322836221118557	1.5549470335546118	(>﹏<)	0.9929638784819099	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;´д`)	False	True	False	True	58	8.819154788064807	5.1920505486841435	-0.7436292139030201	(;´⌒`)	0.9985847190465535	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
(;ω;)	False	True	False	True	78	14.364005033914069	6.262642618554696	1.7793088064840248	(;;_;;)	0.9970123810075947	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;′⌒`)	False	True	False	True	24	8.076126575663935	2.867664154409974	-4.247429735339772	(;´⌒`)	0.9992395266974035	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
(;へ:)	False	False	False	True	0	12.68200162936644	6.187451983341631	-1.6733667736442612	(;ω;)	0.9974356544090863	LN	0.6794871794871795	0.0641025641025641	0.0	0.0	0.1282051282051282	0.8076923076923077	0.0
