first_word	is_gemma_emitted	is_qwen_emitted	is_ministral_emitted	is_claude	total_emit_count	pc1	pc2	pc3	nn_first_word	nn_cosine	soft_assignment	soft_margin	weight_HP	weight_LP	weight_HN-D	weight_HN-S	weight_LN	weight_NB
((⊂(`ω´∩)	False	False	False	True	0	-20.979873094793586	-13.408501160029736	-15.438116658111511	(⊙﹏⊙)	0.9287390556575461	HN-S	0.7777777777777777	0.0	0.0	0.0	0.8888888888888888	0.1111111111111111	0.0
((✿◕‿◕))	False	False	False	True	0	9.36895111186681	8.201399175776412	11.684876589211218	(✿◠‿◠)	0.9273093633414052	LP	0.47727272727272724	0.18181818181818182	0.6590909090909091	0.0	0.0	0.045454545454545456	0.11363636363636363
(-_-;)	False	False	False	True	0	6.315355201014924	-40.08672944881074	-45.178304053630455	(-‸–)	0.9563857633083037	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
(..)	False	False	False	True	0	-37.54027758293472	-11.830920984045708	-45.29534699750121	(👀📻)	0.9236773440603533	NB	1.0	0.0	0.0	0.0	0.0	0.0	1.0
(._.)	False	False	False	True	0	22.73408146078082	-25.459510684554523	-27.520389031001752	(・_・?)	0.89365069311673	NB	1.0	0.0	0.0	0.0	0.0	0.0	1.0
(/▽＼)	False	False	False	True	0	-34.947387393406856	14.651295739144189	-9.620989062345288	(⊙▽⊙)	0.9424947888962821	HP	1.0	1.0	0.0	0.0	0.0	0.0	0.0
(;´д`)	False	True	False	True	58	7.212159927645811	-54.97995200532286	-24.150102465409073	(;´༎ຶд༎ຶ`)	0.9914081195879887	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;ω;)	False	True	False	True	78	1.2203144349309873	-44.090792764415255	-21.928877702956424	(;´༎ຶд༎ຶ`)	0.9821094850830543	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;′⌒`)	False	True	False	True	24	22.61027050504162	-58.06256741902894	-10.560636634433717	(;´⌒`)	0.9937362794252638	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
(;へ:)	False	False	False	True	0	6.786586296368096	-49.822845928043165	-16.32309887378306	(;´∀`)	0.9859042561091119	LN	1.0	0.0	0.0	0.0	0.0	1.0	0.0
(;・∀・)	False	False	False	True	0	1.4906894453548283	-40.158599618959826	-10.409788327428103	(;・ω・)	0.9938705342233688	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;一_一)	False	True	True	True	5	5.02757367636455	-49.45795647650294	-22.512847984558263	(;・ω・)	0.9877464929586531	HN-S	1.0	0.0	0.0	0.0	1.0	0.0	0.0
(;￣д￣)	False	False	False	True	0	6.860492004710672	-50.01198387368392	-21.758949749101113	(;一_一)	0.9901710946187804	HN-S	0.19999999999999996	0.0	0.0	0.0	0.6	0.4	0.0
(=^・ω・^=)	False	True	False	True	12	-22.01149459294642	-8.131643701487208	-11.783542349858774	(>▽<)	0.9151103493813224	LP	1.0	0.0	1.0	0.0	0.0	0.0	0.0
(=^・ｪ・^=)	False	False	False	True	0	-26.270990322767773	-9.069074227380854	-16.60613096139015	(=^・ω・^=)	0.9965804111133615	LP	0.8333333333333333	0.0	0.9166666666666666	0.0	0.0	0.0	0.08333333333333333
(=`ω´=)	False	False	False	True	0	-15.79805498640253	-37.76789184040389	-17.211021621501466	(=^・ω・^=)	0.8654195160236018	LP	0.8333333333333333	0.0	0.9166666666666666	0.0	0.0	0.0	0.08333333333333333
